path	/ui/dialogs/menu_op/summaries												
op	en	zh-TW	ja	fr	ru	es	de	it	eo	th	vi	ko	ar
SOP Select	Allows you to reference a SOP from any other location in TouchDesigner. To save memory, the Select SOP creates an instance of the SOP references.	允許您從TouchDesigner中的任何其他位置引用SOP。為了節省內存，Select SOP創建SOP引用的實例。	TouchDesignerの他の場所からSOPを参照できます。メモリを節約するために、Select SOPはSOP参照のインスタンスを作成します。	vous permet de référencer un SOP de tout autre endroit TouchDesigner. Pour économiser de la mémoire, le Select SOP crée une instance des références SOP.	Позволяет ссылаться на СОП из любого другого места в TouchDesigner. Чтобы сохранить память, ВЫБРАТЬ СОП создает экземпляр ссылки СОП.	Permite hacer referencia a un POE desde cualquier otra ubicación en TouchDesigner. Para ahorrar memoria, la Selección SOP crea una instancia de las referencias SOP.	Damit können Sie eine SOP aus einem beliebigen anderen Ort in Touch verweisen. Um Speicherplatz zu sparen, erstellt die Select SOP eine Instanz der SOP-Referenzen.	Permette di fare riferimento a un SOP da qualsiasi altro luogo in TouchDesigner. Per risparmiare memoria, il Select SOP crea un'istanza dei riferimenti SOP.	Permesas referenci al SOP de ajna alia loko en TouchDesigner. Ŝpari memoron, la Elekti SOP kreas petskribo de la SOP referencojn.	ช่วยให้คุณสามารถอ้างอิง SOP จากตำแหน่งอื่น ๆ ใน TouchDesigner เพื่อบันทึกความทรงจำที่เลือก SOP สร้างอินสแตนซ์ของการอ้างอิง SOP ๆ	Cho phép bạn tham khảo một SOP từ bất kỳ vị trí khác trong TouchDesigner. Để tiết kiệm bộ nhớ, Select SOP tạo ra một thể hiện của các tài liệu tham khảo SOP.	당신이 TouchDesigner의 다른 위치에서 SOP를 참조 할 수 있습니다. 메모리를 저장하려면 선택 SOP는 SOP 참조의 인스턴스를 만듭니다.	يسمح لك مرجع SOP من أي مكان آخر في TouchDesigner. لحفظ الذاكرة، وحدد SOP إنشاء مثيل من المراجع SOP.
SOP Skin	Takes any number of faces and builds a skin surface over them. If given two or more surfaces, however, the SOP builds four skins, one for each set of boundary curves.	採取任意數量的面孔並在其上構建皮膚表面。但是，如果給定兩個或更多個曲面，則SOP構建四個蒙皮，每組邊界曲線一個。	任意の数の面を取り、それらの上にスキンサーフェスを構築します。ただし、2つ以上のサーフェスが与えられた場合、SOPは4つのスキンを作成します。境界カーブの各セットに1つずつです。	Prend un certain nombre de visages et construit une surface de la peau sur eux. Si toutefois, compte tenu de deux surfaces ou plus, le PIC construit quatre peaux, une pour chaque ensemble de courbes frontières.	Принимает любое число граней и строит поверхность кожи над ними. Если заданы два или более поверхностей, однако, СОПЫ строят четыре шкуры, по одному для каждого набора граничных кривых.	Toma cualquier número de caras y construye una superficie de la piel sobre ellos. Si se administra dos o más superficies, sin embargo, el SOP construye cuatro pieles, una para cada conjunto de curvas de contorno.	Nimmt eine beliebige Anzahl von Gesichtern und baut eine Hautoberfläche über sie. Wenn bei zwei oder mehr Oberflächen, jedoch baut sich der SOP vier Häuten, eine für jeden Satz von Grenzkurven.	Prende qualsiasi numero di facce e costruisce una superficie della pelle su di loro. Se in due o più superfici, tuttavia, SOP costruisce quattro pelli, una per ogni serie di curve di contorno.	Prenas ajnan nombron de vizaĝoj kaj konstruas haŭto surfaco super ili. Se donita du aŭ pli surfacoj, aliflanke, la SOP konstruas kvar feloj, por ĉiu aro de limo kurboj.	ใช้เวลาจำนวนหน้าใด ๆ และสร้างผิวมากกว่าพวกเขา หากได้รับสองคนหรือมากกว่าพื้นผิว แต่ SOP สร้างสี่สกินหนึ่งสำหรับชุดของเส้นโค้งแต่ละเขตแดน	Mất bất kỳ số lượng khuôn mặt và xây dựng một bề mặt da qua chúng. Nếu cho hai hay nhiều bề mặt, tuy nhiên, SOP xây dựng bốn kiểu hiển thị, một cho mỗi bộ đường cong ranh giới.	얼굴의 수를 가져 와서 그 위에 피부 표면을 작성합니다. 두 개 이상의 표면을 부여하는 경우, 그러나, SOP 네 스킨, 경계 곡선의 각 세트를 구축한다.	يأخذ أي عدد من الوجوه ويبني على سطح الجلد عليها. إذا ما أعطيت اثنين أو أكثر من السطوح، ومع ذلك، فإن SOP يبني أربعة جلود، واحدة لكل مجموعة من منحنيات الحدود.
SOP Sphere	Generates spherical objects of different geometry types. It is capable of creating non-uniform scalable spheres of all geometry types.	生成不同幾何類型的球形對象。它能夠創建所有幾何類型的非均勻可伸縮球體。	さまざまなジオメトリタイプの球形オブジェクトを生成します。すべてのジオメトリタイプの不均一なスケーラブル球を作成できます。	Génère des objets sphériques de différents types de géométrie. Il est capable de créer des sphères évolutives non uniformes de tous les types de géométrie.	Создает сферические объекты различных типов геометрии. Она способна создавать неравномерные масштабируемых сферы всех типов геометрии.	Genera objetos esféricos de diferentes tipos de geometría. Es capaz de crear esferas escalables no uniformes de todos los tipos de geometría.	Erzeugt kugelförmige Objekte verschiedenen Geometrietypen. Es ist in der Lage ungleichmäßige skalierbare Sphären aller Geometrietypen zu schaffen.	Genera oggetti sferici di diversi tipi di geometria. È in grado di creare non uniformi sfere scalabili di qualsiasi tipo di geometria.	Generas sferaj objektoj de malsamaj geometrio tipoj. Ĝi kapablas krei ne-uniformo skalebla sferoj de ĉiuj geometrio tipoj.	สร้างวัตถุทรงกลมชนิดรูปทรงเรขาคณิตที่แตกต่างกัน มันมีความสามารถในการสร้างไม่สม่ำเสมอทรงกลมปรับขนาดได้ทุกประเภทรูปทรงเรขาคณิต	Tạo đối tượng hình cầu của các loại hình học khác nhau. Nó có khả năng tạo không đồng nhất các lĩnh vực mở rộng của tất cả các loại hình học.	다른 기하학적 형태의 구형 물체를 생성한다. 그것은 모든 지오메트리 유형의 비 균일 확장 구체를 생성 할 수 있습니다.	يولد أجسام كروية من أنواع الهندسة المختلفة. فهي قادرة على خلق غير موحدة المجالات قابلة لجميع أنواع الهندسة.
SOP Spring	Deforms and moves the input geometry using spring "forces" on the edges of polygons and on masses attached to each point.	使用多邊形邊緣上的彈簧“力”和連接到每個點的質量來變形和移動輸入幾何體。	多角形の端と各点にアタッチされた質量にバネの "力"を使用して、入力ジオメトリを変形して移動します。	Déforme et déplace la géométrie d'entrée en utilisant ressort « forces » sur les bords des polygones et des masses attachées à chaque point.	Деформируется и перемещает геометрию входного сигнала с помощью пружин «силы» на краях полигонов и массы, прикрепленных к каждой точке.	Deforma y mueve la geometría de entrada utilizando "fuerzas" de resorte en los bordes de los polígonos y en masas unidas a cada punto.	Verformt und bewegt die Eingangsgeometrie Feder „zwingt“ an den Kanten der Polygone und an jeden Punkt angebracht Massen.	Deforma e sposta la geometria ingresso utilizzando molla "forze" sui bordi di poligoni e sulle masse collegati a ciascun punto.	Deformas kaj movas la enigo geometrio uzanta printempo "fortoj" sur la randoj de pluranguloj kaj sur amasoj alfiksis al ĉiu punkto.	รูปทรงเรขาคณิตและย้ายการป้อนข้อมูลที่ใช้ในฤดูใบไม้ผลิ "กองกำลัง" บนขอบของรูปหลายเหลี่ยมและมวลชนที่แนบมากับแต่ละจุด	Biến dạng và di chuyển hình học đầu vào sử dụng lò xo "lực lượng" trên các cạnh của đa giác và quần chúng gắn liền với mỗi điểm.	변형 다각형의 모서리에 각 점에 연결된 매스 스프링 "힘"을 이용하여 입력 도형을 이동시킨다.	بتشوهات ويتحرك هندسة الإدخال باستخدام الربيع "القوات" على حواف المضلعات وعلى الجماهير تعلق على كل نقطة.
SOP Stitch	Is used to stretch two curves or surfaces to cover a smooth area. It can also be used to create certain types of upholstered fabrics such as cushions and parachutes.	用於拉伸兩條曲線或曲面以覆蓋平滑區域。它還可用於製造某些類型的軟墊面料，如靠墊和降落傘。	滑らかな領域をカバーするために2つの曲線または表面を引き伸ばすために使用されます。クッションやパラシュートなどの特定の種類の布張り生地の作成にも使用できます。	Est utilisé pour étirer deux courbes ou de surfaces pour couvrir une zone lisse. Il peut également être utilisé pour créer certains types de tissus rembourrés tels que des coussins et des parachutes.	Используется, чтобы растянуть две кривые или поверхности, чтобы покрыть гладкую зону. Он также может быть использован для создания определенных видов мягкой ткани, таких как подушки и парашют.	Se usa para estirar dos curvas o superficies para cubrir un área lisa. También se puede utilizar para crear ciertos tipos de telas tapizadas tales como cojines y paracaídas.	Wird verwendet, um zwei Kurven oder Flächen zu dehnen eine glatte Fläche zu bedecken. Es kann auch zu schaffen, bestimmte Arten von Polsterstoffen wie Kissen und Fallschirme verwendet werden.	È usato per allungare due curve o superfici da coprire un'area liscia. Può anche essere usato per creare determinati tipi di tessuti imbottiti come cuscini e paracadute.	Estas uzata por streĉi du kurboj aŭ surfacoj kovri glata areo. Ĝi povas ankaŭ esti uzita por krei iujn tipojn de remburita ŝtofoj kiel ekzemple kusenoj kaj paraŝuto.	จะใช้ในการยืดเส้นโค้งหรือพื้นผิวเพื่อให้ครอบคลุมพื้นที่เรียบ นอกจากนี้ยังสามารถใช้ในการสร้างบางประเภทของเนื้อผ้าหุ้มเช่นหมอนอิงและร่มชูชีพ	Được sử dụng để kéo dài hai đường cong hoặc các bề mặt để trang trải một vùng mượt. Nó cũng có thể được sử dụng để tạo ra một số loại vải bọc như đệm và dù.	평활 한 영역을 커버하는 두 곡선 또는 곡면을 신장하기 위해 사용된다. 또한 쿠션 낙하산으로 살이 포동 포동하게 찐 직물의 특정 유형을 만드는 데 사용할 수 있습니다.	يستخدم لتمتد منحنيين أو الأسطح لتغطية منطقة على نحو سلس. ويمكن أن تستخدم أيضا لإنشاء أنواع معينة من الأقمشة المنجد مثل الوسائد والمظلات.
SOP Subdivide	Takes an input polygon surface (which can be piped into one or both inputs), and divides each face to create a smoothed polygon surface using a Catmull-Clark subdivision algorithm.	採用輸入多邊形曲面（可以通過管道輸入一個或兩個輸入），並使用Catmull-Clark細分算法劃分每個面以創建平滑的多邊形曲面。	入力ポリゴンサーフェス（1つまたは両方の入力にパイプ処理できる）を取り、Catmull-Clark細分割アルゴリズムを使用して各面を分割して平滑化ポリゴンサーフェスを作成します。	Prend une surface de polygone d'entrée (qui peut être acheminé dans une ou les deux entrées) et divise chaque face pour créer une surface de polygone lissée en utilisant un algorithme de subdivision Catmull-Clark.	Принимает поверхность входного многоугольника (который может быть передан в один или оба вход), и делит каждое лицо, чтобы создать сглаженную поверхность полигона, используя алгоритм подразделения Катмуллу-Clark.	Toma una superficie de polígono de entrada (que se pueden verter en una o ambas entradas), y divide cada cara para crear una superficie de polígono suavizado utilizando un algoritmo de subdivisión Catmull-Clark.	Nimmt eine Eingangspolygonfläche (die in einem oder beiden Eingängen geleitet werden können), und teilt sich jede Fläche eine geglättete Polygonfläche zu schaffen unter Verwendung eines Catmull-Clark-Algorithmus Unterteilung.	Prende una superficie di ingresso poligonale (che può essere convogliata in uno o entrambi gli ingressi), e divide ogni faccia per creare una superficie poligonale levigata utilizzando un algoritmo di suddivisione Catmull-Clark.	Prenas enigo plurlatero surfaco (kiu povas esti flutis en unu aŭ ambaŭ enigoj), kaj dividas ĉiun vizaĝon krei glatigis plurlatero surfaco uzante Catmull-Clark subdivision algoritmo.	ใช้เวลาการป้อนข้อมูลพื้นผิวรูปหลายเหลี่ยม (ซึ่งสามารถได้รับการประปาเป็นหนึ่งหรือทั้งสองปัจจัยการผลิต) และแบ่งแต่ละใบหน้าเพื่อสร้างพื้นผิวเรียบรูปหลายเหลี่ยมใช้วิธีการแบ่ง Catmull-Clark	Đưa một bề mặt đa giác đầu vào (có thể được cấp nước tập trung vào một hoặc cả hai đầu vào), và chia mỗi mặt để tạo ra một bề mặt đa giác vuốt sử dụng một thuật toán phân Catmull-Clark.	(하나 또는 두 개의 입력에 배관 할 수있다) 입력 다각형면을 가져 와서 Catmull의 클라크 세분 알고리즘을 사용하여 평활화 다각형 표면을 생성하기 위해 각각의면을 분할한다.	يأخذ سطح المدخلات المضلع (والتي يمكن ضخها في واحدة أو كل من المدخلات)، ويقسم كل وجه لخلق سطح مضلع ممهدة باستخدام إحدى وحداتها خوارزمية كاتمول كلارك.
SOP Superquad	Generates an isoquadric surface. This produces a spherical shape that is similar to a metaball, with the difference that it doesn't change it's shape in response to what surrounds it.	生成isoquadric表面。這產生了一個類似於元球的球形，不同之處在於它不會改變它的形狀以響應周圍的形狀。	二次曲面を生成します。これは、メタボールに似た球形を生成しますが、それを囲むものに応じて形状が変わることはありません。	Génère une surface isoquadric. Cela produit une forme sphérique qui est similaire à un metaball, avec la différence que cela ne change pas sa forme en réponse à ce qui l'entoure.	Создает isoquadric поверхность. Это создает сферическую форму, которая похожа на metaball, с той разницей, что он не меняет свою форму в ответ на то, что его окружает.	Genera una superficie isoquadric. Esto produce una forma esférica que es similar a un metaball, con la diferencia de que no cambia su forma en respuesta a lo que lo rodea.	Erzeugt eine isoquadric Oberfläche. Dies erzeugt eine sphärische Form, die einen metaball ähnlich, mit dem Unterschied, dass es nicht seine Form ändert, ist als Reaktion auf dem, was ihn umgibt.	Genera una superficie isoquadric. Questo produce una forma sferica che è simile a una metaball, con la differenza che non cambia la sua forma in risposta a ciò che lo circonda.	Generas isoquadric surfaco. Ĉi produktas sfera formo kiu estas simila al metaball, kun la diferenco, ke ĝi ne ŝanĝas estas formo en respondo al kion lin ĉirkaŭas.	สร้างพื้นผิว isoquadric นี้ผลิตรูปทรงกลมที่คล้ายกับ metaball ที่มีความแตกต่างว่ามันไม่ได้เปลี่ยนรูปร่างในการตอบสนองกับสิ่งที่ล้อมรอบมัน	Tạo ra một bề mặt isoquadric. Điều này tạo ra một hình dạng hình cầu mà là tương tự như một Metaball, với sự khác biệt mà nó không thay đổi đó là hình dạng để đáp ứng với những gì xung quanh nó.	isoquadric 표면을 생성합니다. 이것은 그것을 둘러싸는 무엇에 응답 형태의 변경되지 않습니다 차이와 더불어, metaball 유사한 구형을 생산하고 있습니다.	يولد سطح isoquadric. وهذا ينتج عنه شكل كروي مشابه لmetaball، مع فارق أنه لا تغيير شكلها ردا على ما يحيط به.
SOP Surfsect	Performs boolean operations with NURBS and Bezier surfaces, or only generates profiles where the surfaces intersect.	使用NURBS和Bezier曲面執行布爾運算，或僅生成曲面相交的輪廓。	NURBSサーフェスとベジェサーフェスを使ってブール演算を実行するか、サーフェスが交差する場所にのみプロファイルを生成します。	Exécute des opérations booléennes avec NURBS et les surfaces de Bézier, ou ne génère que des profils où les surfaces se coupent.	Выполняет логические операции с NURBS и Безье поверхностей, или только создает профили, где поверхности пересекаются.	Realiza operaciones booleanas con NURBS y superficies de Bezier, o sólo genera perfiles donde las superficies se cruzan.	Führt Boolesche Operationen mit NURBS und Bezier-Flächen oder nur erzeugt Profile wo die Oberflächen schneiden.	Esegue operazioni booleane con NURBS e superfici di Bezier, o genera solo le schede in cui le superfici si intersecano.	Elfaras bulea operacioj kun NURBS kaj _Bezier_ surfacoj, aŭ nur generas profilojn kie la surfacoj sekci.	ประสิทธิภาพการดำเนินงานกับบูล NURBS และ Bezier พื้นผิวหรือเพียงสร้างโปรไฟล์ที่พื้นผิวตัดกัน	Thực hiện các hoạt động boolean với NURBS và các bề mặt Bezier, hoặc chỉ tạo hồ sơ nơi các bề mặt giao nhau.	NURBS와 베 지어 표면 부울 연산을 수행하거나, 단지면이 교차하는 정보를 생성한다.	تنفيذ العمليات المنطقية مع NURBS والسطوح بيزيه، أو يولد سوى لمحات حيث تتقاطع السطوح.
SOP Sweep	Sweeps primitives in the Cross-section input along Backbone Source primitive(s), creating ribbon and tube-like shapes.	沿著Backbone Source基元在橫截面輸入中掃描基元，創建帶狀和管狀形狀。	バックボーンソースプリミティブに沿ってクロスセクション入力のプリミティブをスイープし、リボンやチューブのような形状を作成します。	Balaye primitives dans l'entrée en coupe selon Backbone primitive Source (s), créant des formes de ruban et en forme de tubes.	Лапы примитивы во входном сечении по Магистраль Источник примитивных (ы), создавая ленты и трубчатых форм.	Barridos primitivas en la entrada de la sección transversal a lo largo de primitivas (s), creando formas de cinta y similares a tubos Backbone Fuente.	Streicht Primitiven in dem Querschnitt entlang Eingang Backbone Quelle primitiver (s), Erstellen von Farbband und rohrartige Formen.	Spazza primitive nell'input sezione lungo primitive (s), creando forme nastro e tubo-come backbone Source.	Balaas primitivoj en la Transversa sekcio enigo kune Backbone Fonto primitiva (j), kreado rubando kaj tubon-similaj formoj.	กวาดวิทยาการในการป้อนข้อมูลข้ามส่วนพร้อมแกนนำที่มาดั้งเดิม (s), การสร้างริบบิ้นและหลอดเหมือนรูปร่าง	Càn quét nguyên thủy trong Cross-phần đầu vào cùng Backbone Nguồn nguyên thủy (s), tạo ra hình dạng ruy băng và ống-như thế nào.	백본 원시 소스 (S), 생성 리본 및 튜브와 같은 형상을 따라 단면에 입력 프리미티브를 지나간다.	تجتاح الأوليات في المقطع العرضي المدخلات على طول العمود الفقري المصدر البدائية (ق)، وخلق الشريط وأنبوب مثل الأشكال.
SOP Switch	Switches between up to 9999 possible inputs. The output of this SOP is specified by the Select Input field.	在最多9999個可能的輸入之間切換。此SOP的輸出由“選擇輸入”字段指定。	最大9999の可能な入力間で切り替えます。このSOPの出力は「入力の選択」フィールドで指定されています。	Bascule entre jusqu'à 9999 entrées possibles. La sortie de cette IPO est spécifiée par le champ Select d'entrée.	Переключение между до 9999 возможных входов. Выходной сигнал этого СОП задается поле Выбор ввода.	Cambia entre hasta 9999 entradas posibles. La salida de este SOP se especifica mediante el campo de selección de entrada.	Zum Umschalten zwischen bis zu 9999 möglichen Eingaben. Der Ausgang dieses SOP wird durch das Auswählen Eingabefeld spezifiziert.	Commuta fra fino a 9999 possibili ingressi. L'uscita di questo SOP è specificato dal campo Select Input.	Ŝaltiloj inter ĝis 9999 eblaj enigoj. La produktado de ĉi SOP estas precizigita per la Elekti Importa kampo.	สวิทช์ระหว่าง 9999 ถึงปัจจัยการผลิตที่เป็นไปได้ การส่งออกของ SOP นี้จะถูกระบุโดยเลือกช่องใส่	Chuyển đổi giữa lên đến 9999 đầu vào càng tốt. Kết quả của SOP này được xác định bởi Select lĩnh vực đầu vào.	최대 9999 개 가능한 입력 사이를 전환합니다. 이 SOP의 출력은 선택 입력 필드에 의해 지정됩니다.	التبديل بين ما يصل الى 9999 المدخلات الممكنة. يتم تحديد إخراج هذا SOP حسب الحقل الإدخال تحديد.
SOP Torus	Generates complete or specific sections of torus shapes (like a doughnut).	生成圓環形狀的完整或特定部分（如甜甜圈）。	（ドーナツのような）トーラス形状の完全なまたは特定のセクションを生成します。	Sections complètes ou Génère spécifiques des formes de tores (comme un beignet).	Формирует полные или специальные секции торы формы (как пончик).	Genera secciones completos o específicos de formas toro (como una rosquilla).	Erzeugt vollständige oder bestimmte Abschnitte von Torus Formen (wie ein Donut).	Genera sezioni complete o specifiche di forme toroidali (come una ciambella).	Generas kompletaj aŭ specifaj sekcioj de toro formojn (kiel kringo).	สร้างส่วนที่สมบูรณ์หรือที่เฉพาะเจาะจงของรูปทรงพรู (ชอบโดนัท)	Tạo ra phần hoàn chỉnh hoặc cụ thể của hình dạng hình xuyến (như một chiếc bánh rán).	(도넛 같은) 토러스 모양의 전체 또는 특정 부분을 생성합니다.	يولد أقسام كاملة أو محددة من الأشكال الحيد (مثل دونات).
SOP Trace	Reads an image file and automatically traces it, generating a set of faces around areas exceeding a certain brightness threshold.	讀取圖像文件並自動跟踪圖像文件，在超過特定亮度閾值的區域周圍生成一組面。	画像ファイルを読み込んで自動的にトレースし、特定の明るさのしきい値を超える領域の周囲に一連の面を生成します。	Lit un fichier d'image et trace automatiquement, générer un ensemble de faces autour des zones dépassant un certain seuil de luminosité.	Считывает файл изображения и автоматически отслеживает его, создавая множество граней вокруг областей, превышающих определенный порог яркости.	Lee un archivo de imagen y realiza un seguimiento automáticamente, generando un conjunto de caras alrededor de las áreas que superan un determinado umbral de luminosidad.	Liest eine Bilddatei und automatisch verfolgt es, einen Satz von Flächen um Bereiche Erzeugung eines bestimmten Helligkeitsschwelle überschreitet.	Legge un file di immagine e le tracce automaticamente, generando una serie di facce attorno aree che superano una certa soglia di luminosità.	Legas bildon dosieron kaj aŭtomate spuras ŝin, generante aro de edroj ĉirkaŭ areoj tre certa brilo sojlo.	อ่านไฟล์ภาพโดยอัตโนมัติและมีร่องรอยการสร้างชุดของใบหน้ารอบพื้นที่เกินเกณฑ์สว่างบางอย่าง	Đọc một tập tin hình ảnh và tự động dấu vết nó, tạo ra một tập hợp các khuôn mặt xung quanh khu vực vượt quá một ngưỡng độ sáng nhất định.	이미지 파일을 자동으로 읽어 들여 소정 휘도 임계 값을 초과하는 부분의 주위면의 세트를 생성하여 추적.	يقرأ ملف صورة وتلقائيا يتتبع ذلك، توليد مجموعة من الوجوه في جميع أنحاء المناطق التي تتجاوز عتبة سطوع معينة.
SOP Trail	Takes an input SOP and makes a trail of each point of the input SOP over the past several frames, and connects the trails in different ways.	採用輸入SOP並在過去幾幀中對輸入SOP的每個點進行跟踪，並以不同方式連接路徑。	入力SOPを取り、過去数フレームにわたって入力SOPの各点の軌跡を作成し、その軌跡をさまざまな方法で接続します。	Prend une IPO d'entrée et fait une traînée de chaque point de l'IPO d'entrée au cours des dernières images, et relie les sentiers de différentes façons.	Принимает входные СОПА и делает след каждой точки входа СОП в течение последних нескольких кадров, и соединяют трассы по-разному.	Toma un SOP de entrada y hace un rastro de cada punto de entrada de la SOP en los últimos fotogramas, y conecta los senderos de diferentes maneras.	Nimmt einen Eingang SOP und macht eine Spur von jedem Punkt des Eingangs SOP in den vergangenen Rahmen und verbindet die Routen in unterschiedlicher Weise.	Prende un SOP di ingresso e fa una scia di ogni punto della SOP di ingresso nel corso degli ultimi fotogrammi, e collega le piste in modi diversi.	Prenas enigo SOP kaj faras spuron de ĉiu punkto de la enigo SOP super la pasintaj pluraj kadroj kaj ligas la montaña en malsamaj manieroj.	ใช้เวลา SOP การป้อนข้อมูลและทำให้เส้นทางของจุดของ SOP การป้อนข้อมูลในช่วงหลายเฟรมที่ผ่านมาแต่ละคนและเชื่อมต่อเส้นทางในรูปแบบต่างๆ	Mất một SOP đầu vào và tạo ra một dấu vết của mỗi điểm của SOP đầu vào trong vài khung qua, và kết nối những con đường mòn theo những cách khác nhau.	입력 SOP를 받아 지난 몇 프레임을 통해 입력 SOP의 각 지점의 흔적을 만들고, 다른 방법으로 산책로를 연결합니다.	يأخذ SOP المدخلات ويجعل أثرا من كل نقطة من SOP المدخلات على مدى عدة إطارات الماضية، ويربط مسارات بطرق مختلفة.
SOP Trim	Cuts out parts of a spline surface, or uncuts previously cut pieces. When a portion of the surface is trimmed, it is not actually removed from the surface; instead, that part is made invisible.	切除樣條曲面的一部分，或展開先前切割的碎片。當一部分錶面被修剪時，它實際上並未從表面上移除;相反，那部分是不可見的。	スプラインサーフェスの一部を切り取るか、以前に切り取ったピースを切り取ります。サーフェスの一部がトリムされても、サーフェスから実際には削除されません。代わりに、その部分は見えなくなります。	Découpe les parties d'une surface cannelée ou uncuts morceaux découpés précédemment. Quand une partie de la surface est coupé, il est pas réellement retiré de la surface; au contraire, cette partie est rendu invisible.	Вырезаются части поверхности шлицевого или uncuts предварительно нарезанные кусочки. Когда часть поверхности отделана, он на самом деле не удаляются с поверхности; вместо того, что часть сделана невидимой.	Corta a cabo partes de una superficie de spline, o uncuts previamente cortan piezas. Cuando se recorta una parte de la superficie, no se elimina realmente de la superficie; en cambio, esa parte se hace invisible.	Schneidet Teile einer Spline-Oberfläche oder uncuts zuvor Stücke geschnitten. Wenn ein Teil der Oberfläche getrimmt wird, ist es tatsächlich nicht von der Oberfläche entfernt; stattdessen wird, dass ein Teil unsichtbar gemacht.	Ritaglia parti di una superficie spline o uncuts pezzi precedentemente tagliati. Quando una porzione della superficie è tagliata, non viene effettivamente rimosso dalla superficie; invece, quella parte è reso invisibile.	Tranĉas el partoj de laŭparta interpola funkcio surfaco, aŭ uncuts antaŭe tranĉis pecojn. Kiam parto de la surfaco estas eltondita, ĝi estas ne fakte forigita de la surfaco; anstataŭe, tiu parto estas farita nevidebla.	ตัดออกชิ้นส่วนของพื้นผิวโค้งหรือ uncuts ตัดชิ้นก่อนหน้านี้ เมื่อเป็นส่วนหนึ่งของพื้นผิวที่ถูกตัดแต่งมันจะไม่ออกจริงจากพื้นผิว; แทนที่จะเป็นส่วนหนึ่งที่ทำมองไม่เห็น	Cắt ra các bộ phận của một bề mặt spline, hoặc uncuts trước đây cắt miếng. Khi một phần của bề mặt được tỉa, nó không phải là thực sự ra khỏi bề mặt; thay vào đó, phần đó được thực hiện vô hình.	스플라인 표면의 부분을 잘라, 또는 uncuts 이전에 조각을 잘라. 표면의 부분을 트리밍 할 때, 실제로 표면으로부터 제거되지 않는다; 대신, 그 부분은 보이지 않게된다.	يقطع من أجزاء من سطح شريحة، أو uncuts قطع سابقا قطعة. عندما يتم قطع جزء من السطح، لا يتم إزالة فعلا من على سطح الأرض. بدلا من ذلك، يتم إجراء هذا الجزء غير مرئية.
SOP Tristrip	Convert geometry into triangle strips. Triangle strips are faster to render than regular triangles or quads.	將幾何轉換為三角形條。三角形條帶比常規三角形或四邊形更快。	ジオメトリを三角形の帯に変換します。三角形のストリップは、通常の三角形や四角形よりもレンダリングが高速です。	Autre géométrie en bandes de triangles. bandes triangle sont plus rapides à rendre que les triangles réguliers ou quadriceps.	Преобразование геометрии в треугольнике полосы. Треугольник полосы быстрее, чем делают правильные треугольники или четырехугольники.	Convertir geometría en tiras de triángulos. tiras de triángulos son más rápidos para hacer que los triángulos regulares o quads.	Konvertieren Sie Geometrie in Dreiecksstreifen. Dreieck-Streifen sind schneller zu machen als normale Dreiecken oder Quads.	Convertire geometria a strisce triangolo. strisce di triangoli sono più veloci di rendere più triangoli regolari o quad.	Konverti geometrio en triangulo strioj. Triangulo strioj estas pli rapida por repagi ol regulaj trianguloj aŭ quads.	แปลงรูปทรงเรขาคณิตเป็นแถบสามเหลี่ยม แถบสามเหลี่ยมจะเร็วกว่าที่จะทำให้รูปสามเหลี่ยมปกติหรือล่าม	Chuyển đổi hình học vào dải tam giác. dải tam giác là nhanh hơn để làm hơn tam giác hoặc Quads thường xuyên.	삼각형 스트립으로 지오메트리를 변환합니다. 삼각형 스트립은 일반 삼각형 또는 쿼드에 비해 렌더링 빠릅니다.	تحويل الهندسة إلى شرائح المثلث. شرائط مثلث هي أسرع لتقديم من مثلثات العادية أو الكواد.
