path	/ui/dialogs/menu_op/summaries						
op	en	zh-TW	ja-JP	fr	ru	es	eo
TOP Normal Map	Takes an input image and creates a normal map by finding edges in the image. This can then be used for bump mapping (See Phong MAT ).	獲取輸入圖像並通過查找圖像中的邊緣來創建法線貼圖。然後可以將其用於凹凸貼圖（參見Phong MAT）。	入力画像を取り、画像内のエッジを見つけて法線マップを作成します。これはバンプマッピングに使用できます（Phong MATを参照）。	Prend une image d'entrée et crée une carte normale en trouvant des bords dans l'image. Cela peut ensuite être utilisé pour bump mapping (voir Phong MAT).	Принимает входное изображение и создает нормальную карту, находя края в изображении. Это может быть затем использована для отображения рельефа (см Фонг MAT).	Toma una imagen de entrada y crea un mapa normal mediante la búsqueda de los bordes de la imagen. Esto se puede entonces utilizar para la cartografía protuberancia (Ver Phong MAT).	Prenas enigo bildon kaj kreas normala mapo retrovante randoj en la bildo. Tio povas tiam esti uzata por tubero mapado (Vidu Phong MAT).
TOP Null	Has no effect on the image. It is an instance of the TOP connected to its input. The Null TOP is often used when making reference to a TOP network, allowing new TOPs to be added to the network (upstream) without the need to update the reference.	對圖像沒有影響。它是連接到其輸入的TOP的實例。 Null TOP通常在引用TOP網絡時使用，允許將新TOP添加到網絡（上游），而無需更新引用。	画像には影響しません。これは、その入力に接続されているTOPのインスタンスです。 TOPネットワークを参照するときには、NULL TOPがよく使用され、参照を更新しなくても新しいTOPをネットワーク（アップストリーム）に追加できるようになります。	N'a pas d'effet sur l'image. Il est une instance du TOP connecté à son entrée. Le Null TOP est souvent utilisé lorsqu'il est fait référence à un réseau TOP, ce qui permet de nouvelles TOPs à ajouter au réseau (en amont) sans qu'il soit nécessaire de mettre à jour la référence.	Не имеет никакого эффекта на изображении. Это является экземпляром ТОП, подключенных к его входу. Нуль TOP часто используется при ссылке на верхнюю сеть, позволяя новые вершины, которые будут добавлены к сети (вверх по течению) без необходимости обновления ссылок.	No tiene ningún efecto en la imagen. Es una instancia de la TOP conectado a su entrada. El Null TOP se utiliza a menudo cuando se haga referencia a una red TOP, permitiendo nuevas tapas que se añaden a la red (aguas arriba) sin la necesidad de actualizar la referencia.	Ne efikas sur la bildo. Estas ekzemplo de la TOP konektita al ĝia enigo. La Nula TOP ofte uzita kiam farante referenco al PINTO reto, permesante novaj suproj esti aldonitaj al la reto (kontraŭflue) sen la bezono por ĝisdatigi la referenco.
TOP Out	Is used to create a TOP output in a Component. Component outputs are positioned alphanumerically on the right side of the Component.	用於在Component中創建TOP輸出。組件輸出以字母數字的形式定位在組件的右側。	Component内にTOP出力を作成するために使用されます。コンポーネント出力は、コンポーネントの右側に英数字で配置されています。	Il est utilisé pour créer une sortie vers le haut dans un composant. Sorties composantes sont positionnées sur le côté alphanumériquement droit du composant.	Используется для создания TOP вывода в компоненте. Компонентные выходы расположены в алфавитном на правой стороне компоненты.	Se utiliza para crear una salida de TOP en un componente. salidas de componentes están posicionados de forma alfanumérica en el lado derecho del componente.	Estas uzata por krei TOP produktadon en Component. Komponanto eligoj estas poziciigita alphanumerically sur la dekstra flanko de la Constituyente.
TOP Outside	Places Input1 'outside' Input2. Input1 is visible in the output wherever Input2's alpha is <1. This is the opposite operation to the Inside TOP.	將Input1'放在'Input2之外。只要Input2的alpha <1，Input1在輸出中可見。這是與Inside TOP相反的操作。	入力1を入力2の「外側」に配置します。 Input2のアルファが1より小さい場合、Input1は出力に表示されます。これはInside TOPとは逆の操作です。	Places Entrée1 'extérieur' Input2. Input1 est visible dans la sortie chaque fois que l'alpha de Input2 est <1. Ceci est l'opération inverse à l'intérieur vers le haut.	Места input1 'вне' Input2. Input1 виден на выходе, где альфа-Input2 является <1. Это противоположно операции на внутренней верхней.	Input1 lugares 'fuera' INPUT2. Input1 es visible en la salida donde alfa de Entrada2 es <1. Esta es la operación opuesta a la parte interior superior.	Lokoj Input1 'ekster' Input2. Input1 videblas en la produktadon kie ajn Input2 la alfa estas <1. Tio estas la malo operacio al la Interne TOP.
TOP Over	Places Input1 'over' Input2. The alpha of Input1 is used to determine what parts of the Input2 image are visible in the result.	將Input1'放在'Input2上。 Input1的alpha用於確定Input2圖像的哪些部分在結果中可見。	入力1を入力2の上に配置します。 Input1のアルファは、Input2イメージのどの部分が結果に表示されるかを決定するために使用されます。	Places Entrée1 'sur' Input2. L'alpha de Input1 est utilisé pour déterminer quelles parties de l'image Input2 sont visibles dans le résultat.	Места Input1 'над' Input2. Альфа Input1 используется для определения того, какие части изображений Input2 видны в результате.	Lugares Input1 'sobre' Entrada2. El alfa de Input1 se utiliza para determinar qué partes de la imagen Entrada2 son visibles en el resultado.	Lokoj Input1 'super' Input2. La alfa de Input1 estas uzata por determini kion partoj de la Input2 bildo estas videblaj en la rezulto.
TOP Pack	Note: Only in builds 48000 or later.	注意：僅在構建48000或更高版本中。	注：ビルド48000以降でのみ。	Note: Seulement en construit 48000 ou plus tard.	Примечание: Только в строит 48000 или более поздней версии.	Nota: Sólo se acumula 48000 o posterior.	Noto: Nur en konstruas 48000 aŭ poste.
TOP Photoshop In	Can stream the output from Photoshop CS6 into TouchDesigner.  Photoshop can be running on the same computer as TouchDesigner or any other computer on the network.	可以將Photoshop CS6的輸出流式傳輸到TouchDesigner中。 Photoshop可以與TouchDesigner在同一台計算機上運行，也可以在網絡上的任何其他計算機上運行。	Photoshop CS6からの出力をTouchDesignerにストリーミングできます。 Photoshopは、TouchDesignerと同じコンピュータ、またはネットワーク上の他のコンピュータ上で実行できます。	Peut diffuser la sortie de Photoshop CS6 en TouchDesigner. Photoshop peut être en cours d'exécution sur le même ordinateur que TouchDesigner ou tout autre ordinateur du réseau.	Может поток выход из Photoshop CS6 в TouchDesigner. Photoshop может быть запущен на том же компьютере, TouchDesigner или любого другого компьютера в сети.	Puede transmitir la salida de Photoshop CS6 en TouchDesigner. Photoshop puede estar ejecutándose en el mismo equipo que TouchDesigner o cualquier otro equipo de la red.	Povas alflui la eligo de Photoshop CS6 en TouchDesigner. Photoshop povas kuri en la sama komputilo kiel TouchDesigner aŭ iu ajn alia komputilo en la reto.
TOP Projection	Takes a Cube Map created with a Render TOP and converts that to a fisheye projection suitable for domes, and a "equirectangular" projection, where u-v is latitude-longitude, suitable for spheres.	拍攝使用渲染TOP創建的立方體貼圖並將其轉換為適合圓頂的魚眼投影，以及“equirectangular”投影，其中u-v是緯度 - 經度，適用於球體。	Render TOPで作成された立方体マップを取り、それをドームに適した魚眼レンズ投影、および球に適した緯度経度の「equirectangular」投影に変換します。	Takes une carte Cube créé avec un rendu TOP et le convertit à une projection fisheye appropriée pour les dômes, et une projection « équirectangulaire », où u-v est la latitude-longitude, adaptée pour les sphères.	Куб принимает карты, созданные с рендер TOP и преобразует, что рыбий глаз проекции, подходящей для куполов, и «эквидистантной» проекции, где U-V является широта-долгота, подходит для сфер.	Lleva un cubo mapa creado con una tapa Render y convierte eso a una proyección de ojo de pez adecuado para cúpulas, y una proyección "equirectangular", donde u-v es latitud-longitud, apto para esferas.	Prenas Cube Mapo kreita kun Redonu TOP kaj konvertas ke al Fisheye projekcio taŭga por kupoloj kaj "equirectangular" elstaraĵo, kie u-v estas latitudo-longitudo, taŭga por sferoj.
TOP Ramp	Allows you to interactively create vertical, horizontal, radial, and circular ramps. Using the ramp bar and the color picker, you can add as many color tabs to the ramp as you like, each with its own color and alpha values.	允許您以交互方式創建垂直，水平，徑向和圓形斜坡。使用漸變條和顏色選擇器，您可以根據需要為漸變添加任意數量的顏色選項卡，每個選項卡都有自己的顏色和alpha值。	垂直、水平、放射状、および円形のランプをインタラクティブに作成できます。ランプバーとカラーピッカーを使用して、それぞれ独自の色とアルファ値を持つカラータブを好きなだけランプに追加できます。	vous permet de créer de façon interactive vertical, horizontal, radial et rampes circulaires. Utilisation de la barre de rampe et le sélecteur de couleur, vous pouvez ajouter autant d'onglets de couleur à la rampe que vous le souhaitez, chacun avec ses propres valeurs de couleur et alpha.	Позволяет интерактивно создавать вертикальные, горизонтальные, радиальные и круговые пандусы. Используя панель рампы и цветовой палитры, вы можете добавить много цветных вкладок к рампе, как вам нравится, каждый со своим собственным цветом и значением альфа.	Permite crear de forma interactiva vertical, horizontal, radial y rampas circulares. Mediante la barra de rampa y el selector de color, se puede añadir tantas fichas de color a la rampa a su gusto, cada una con sus propios valores de color y alfa.	Permesas interage krei vertikala, horizontala, radiales, kaj cirkla ramploj. Uzante la ramplo stangon kaj la kolorŝanĝilo, vi povas aldoni tiom da koloro langetoj al la ramplo laŭplaĉe, ĉiu kun ĝia propra koloro kaj alfa valorojn.
TOP RealSense	Connects to RealSense devices and outputs color, depth and IR data from it. See also RealSense CHOP.	連接到RealSense設備並從中輸出顏色，深度和IR數據。另請參見RealSense CHOP。	RealSenseデバイスに接続し、そこから色、深度、IRデータを出力します。 RealSense CHOPも参照してください。	Se connecte à RealSense appareils et la couleur des sorties, des données de profondeur et IR de celui-ci. Voir aussi RealSense CHOP.	Подключение к RealSense устройств и цвета выходов, глубины и данные ИК от него. Смотрите также RealSense ЧОП.	Se conecta a REALSENSE dispositivos y salidas de color, profundidad y los datos de IR de ella. Ver también REALSENSE CHOP.	Konektas al RealSense aparatoj kaj eliroj koloro, profundo kaj IR datumojn de ĝi. Vidu ankaŭ RealSense kotleton.
TOP Remap	Uses the second input to warp the first input. For every pixel of the output, it uses the red channel and green channel of the second input to choose which pixel to pick from the first input.	使用第二個輸入扭曲第一個輸入。對於輸出的每個像素，它使用第二個輸入的紅色通道和綠色通道來選擇從第一個輸入中選擇哪個像素。	2番目の入力を使用して最初の入力をワープします。出力の各ピクセルに対して、2番目の入力の赤チャンネルと緑チャンネルを使用して、最初の入力からどのピクセルを選択するかを選択します。	Utilise la seconde entrée pour déformer la première entrée. Pour chaque pixel de la sortie, il utilise le canal rouge et le canal vert de la deuxième entrée pour choisir le pixel à choisir la première entrée.	Использует второй вход, чтобы деформировать первый вход. Для каждого пикселя выходного сигнала, то он использует красный канал и зеленый канал второго ввода, чтобы выбрать, какой пиксель, чтобы выбрать из первого входа.	Utiliza la segunda entrada para deformar la primera entrada. Para cada píxel de la salida, se utiliza el canal rojo y canal verde de la segunda entrada de elegir qué píxel para recoger desde la primera entrada.	Uzas la duan enigo al Warp la unua enigo. Por ĉiu pixel de la produktado, ĝi uzas la ruĝa kanalo kaj verda kanalo de la dua eniga elekti kiun rastrumero por repreni el la unuaj enigo.
TOP Rectangle	Can be used to generate Rectangles with rounded corners. The shapes can be customized with different sizes, rotation and positioning.	可用於生成帶圓角的矩形。形狀可以定制不同的尺寸，旋轉和定位。	角の丸い四角形を生成するために使用できます。形は異なったサイズ、回転および位置とカスタマイズすることができます。	Peut être utilisé pour générer des Rectangles avec des coins arrondis. Les formes peuvent être personnalisées avec différentes tailles, la rotation et le positionnement.	Может быть использовано для создания прямоугольников с закругленными углами. Формы могут быть настроены с различными размерами, вращения и позиционирования.	Puede ser utilizado para generar rectángulos con esquinas redondeadas. Las formas se pueden personalizar con diferentes tamaños, la rotación y el posicionamiento.	Povas esti uzata por generi ortanguloj kun rondigitaj anguloj. La formoj povas personecigi kun malsamaj grandecoj, rotacio kaj posicionamiento.
TOP Reorder	Is a multi-input TOP which lets you choose any of the input channels for the R, G, B, and A output. It also gives the option of outputting one, zero or the input luminance to any of the output channels.	是一個多輸入TOP，可讓您選擇R，G，B和A輸出的任何輸入通道。它還提供了向任何輸出通道輸出一個，零或輸入亮度的選項。	R、G、B、およびA出力用の任意の入力チャンネルを選択できるマルチ入力TOPです。また、1、0、または入力輝度を任意の出力チャンネルに出力するオプションもあります。	Est un multi-entrées TOP qui vous permet de choisir l'une des voies d'entrée pour le R, G, B, et une sortie. Il donne également la possibilité de délivrer en sortie un, zéro ou la luminance d'entrée à l'un des canaux de sortie.	Есть несколько входов TOP, которая позволяет выбрать любого из входных каналов для R, G, B, и выхода. Это также дает возможность вывода одного, нуль или входной яркости к любому из выходных каналов.	Es un multi-entrada superior que le permite elegir cualquiera de los canales de entrada para el R, G, B, y una salida. También da la opción de dar salida a uno, cero o la luminancia de entrada a cualquiera de los canales de salida.	Estas mult enigo TOP kiu permesas elekti iun el la enigo kanaloj por la R, G, B, kaj A eligo. Ĝi ankaŭ donas la eblon de elirigi unu, nul aŭ la enigo lumínicos al iu el la produktadon kanalojn.
TOP Resolution	Changes the resolution of the TOP image. This can also be done on the Common page of most other TOPs.	更改TOP圖像的分辨率。這也可以在大多數其他TOP的公共頁面上完成。	TOP画像の解像度を変更します。これは他のほとんどのTOPのCommonページでもできます。	Modifie la résolution de l'image vers le haut. Cela peut aussi se faire sur la page commune de la plupart des autres corsages.	Изменение разрешения изображения TOP. Это также может быть сделано на общей странице большинства других ТОПов.	Cambia la resolución de la imagen superior. Esto también se puede hacer en la página Común de la mayoría de los demás tops.	Ŝanĝas la rezolucio de la TOP bildo. Ĉi tiu povas ankaŭ esti farita sur la Komuna paĝo de plej multaj aliaj pintoj.
TOP RGB to HSV	The RGV to HSV TOP converts the image from RGB to HSV colorspace. The R channel becomes Hue, the G channel becomes Saturation, and the B channel becomes Value.	RGV到HSV TOP將圖像從RGB轉換為HSV色彩空間。 R通道變為Hue，G通道變為飽和，B通道變為Value。	RGVからHSV TOPは、イメージをRGBからHSVカラースペースに変換します。 Rチャンネルが色相、Gチャンネルが彩度、BチャンネルがValueになります。	Le RGV HSV TOP convertit l'image RVB à HSV colorspace. Le canal R devient Hue, le canal G devient la saturation et le canal B devient la valeur.	RGV к HSV TOP преобразует изображение из RGB в HSV цветового. R канал становится Hue, канал G становится насыщение, а В канале становится Value.	El RGV a HSV TOP convierte la imagen de RGB a HSV espacio de color. El canal R se convierte en Hue, el canal G se convierte en saturación, y el canal B se convierte en Valor.	La RGV al HSV TOP konvertas la bildon el RVB al HSV kolorspacon. La R kanalo iĝas Hue, la G kanalo iĝas Saturado, kaj la B kanalo iĝas Valoro.
TOP RGB Key	Pulls a key from the image using Red, Green, and Blue channel settings. If a pixel falls between the Min and Max parameters for all three settings, then it is included in the key.	使用紅色，綠色和藍色通道設置從圖像中拉出一個鍵。如果像素落在所有三個設置的最小和最大參數之間，則它將包含在密鑰中。	赤、緑、青のチャンネル設定を使用して画像からキーを引きます。ピクセルが3つすべての設定で最小と最大のパラメータの間にある場合、それはキーに含まれます。	Tire une clé de l'image en utilisant Rouge, Vert, et les paramètres de canal bleu. Si un pixel tombe entre les paramètres Min et Max pour les trois paramètres, il est inclus dans la clé.	Тянет ключ от изображения, используя параметры Красный, зеленый и синий канал. Если пиксель находится между параметрами Min и Max для всех трех параметров, то она включается в ключе.	Saca una llave de la imagen con los ajustes de canales Rojo, Verde y Azul. Si un píxel se encuentra entre los parámetros mínimos y máximos para las tres configuraciones, a continuación, se incluye en la tecla.	Tiras ŝlosilon el la bildon uzante Ruĝa, Verda kaj Blua kanalo agordojn. Se pixel falas inter la min kaj max parametroj por ĉiuj tri agordojn, tiam ĝi estas inkludita en la ŝlosilo.
TOP Screen	Brightens the underlying layers depending on how bright the screened layer's pixels are. If the screened pixel is black, it will look completely transparent.	根據屏蔽層像素的亮度，使基礎圖層變亮。如果屏蔽像素為黑色，則看起來完全透明。	スクリーンレイヤのピクセルの明るさに応じて、下にあるレイヤを明るくします。スクリーンされたピクセルが黒の場合、完全に透明に見えます。	Éclaircit les couches sous-jacentes selon la lumière des pixels de la couche sont grillagée. Si le pixel projeté est noir, il sera complètement transparent.	Осветляет нижележащие слои в зависимости от яркости пикселей экранированного слоя являются. Если на экране пиксель черного цвета, он будет выглядеть совершенно прозрачным.	La luminosidad de la capas subyacentes dependiendo de cómo brillante píxeles de la capa filtrada son. Si el píxel es negro blindado, que se verá completamente transparente.	Heligas la subaj tavoloj en funkcio kiu brile la ekzamenita tavolo de pikseloj estas. Se la ekzamenitaj rastrumero estas nigra, ĝi aspektos tute travidebla.
TOP Screen Grab	Turns the main screen output into a TOP image. It can be captured in real-time while you work.	將主屏幕輸出變為TOP圖像。它可以在您工作時實時捕獲。	メイン画面出力をTOP画像にします。あなたが仕事をしている間それはリアルタイムで捉えることができます。	Active la sortie principale de l'écran en une image vers le haut. Il peut être capturé en temps réel pendant que vous travaillez.	Включает основной вывод данных на экран в верхнее изображение. Это может быть захвачено в режиме реального времени во время работы.	Apaga la salida de la pantalla principal en una imagen superior. Puede ser capturada en tiempo real mientras se trabaja.	Turnas la ĉefa ekrano produktadon en TOP bildo. Ĝi povas esti kaptita en reala tempo dum vi laboras.
TOP SDI In	Is a TouchDesigner Pro only operator. The SDI In TOP uses NVIDIA's SDI Capture Card to capture video frames directly into GPU memory.	是僅限TouchDesigner Pro的操作員。 SDI In TOP使用NVIDIA的SDI採集卡將視頻幀直接捕獲到GPU內存中。	TouchDesigner Proのみのオペレーターです。 SDI In TOPは、ビデオフレームを直接GPUメモリにキャプチャするためにNVIDIAのSDIキャプチャカードを使用します。	Est un opérateur que TouchDesigner Pro. Le SDI utilise TOP SDI Carte de capture de NVIDIA pour capturer des images vidéo directement dans la mémoire du GPU.	Является Pro только оператор TouchDesigner. SDI В TOP использует Capture Card SDI NVIDIA, чтобы захватывать видео кадры непосредственно в память GPU.	Pro es un único operador TouchDesigner. El SDI En TOP utiliza la tarjeta de captura SDI de NVIDIA para capturar fotogramas de vídeo directamente en la memoria de la GPU.	Estas TouchDesigner Pro nur operatoro. La SDI En TOP uzas NVIDIA SDI Kapto Karto kapti video kadroj rekte en GPU memoro.
TOP SDI Select	The SDI In TOP is a TouchDesigner Pro only operator. The SDI Select TOP is used to select video from the 2-4 inputs in the SDI In TOP on the Nvidia SDI Capture card.	SDI In TOP是僅限TouchDesigner Pro的操作員。 SDI Select TOP用於從Nvidia SDI Capture卡上的SDI In TOP中的2-4個輸入中選擇視頻。	SDI In TOPはTouchDesigner Proのみのオペレーターです。 SDI Select TOPは、Nvidia SDI CaptureカードのSDI In TOPの2-4入力からビデオを選択するために使用されます。	Le SDI En TOP est un opérateur que TouchDesigner Pro. Le SDI Select TOP est utilisé pour sélectionner la vidéo à partir des entrées 2-4 dans la SDI TOP sur la Nvidia SDI carte de capture.	SDI в ТОП является Pro только оператор TouchDesigner. SDI Выбор TOP используется для выбора видео из 2-4 входов в SDI в топе на Capture карты Nvidia SDI.	El SDI En TOP es un único operador TouchDesigner Pro. El SDI Seleccione TOP se utiliza para seleccionar el vídeo de las entradas 2-4 en la IDE en cumbre a la tarjeta de captura de Nvidia SDI.	La SDI En TOP estas TouchDesigner Pro nur operatoro. La SDI Elektu TOP kutimas elekti video de la 2-4 enigoj en la SDI En TOP sur la Nvidia SDI Kapto karto.
TOP Select	Allows you to reference a TOP from any other location in TouchDesigner. To save graphics memory, the Select TOP creates an instance of the TOP references.	允許您從TouchDesigner中的任何其他位置引用TOP。為了節省圖形內存，Select TOP創建TOP引用的實例。	TouchDesignerの他の場所からTOPを参照できます。グラフィックメモリを節約するために、Select TOPはTOP参照のインスタンスを作成します。	vous permet de référencer un TOP de tout autre endroit TouchDesigner. Pour économiser de la mémoire graphique, le Select TOP crée une instance des références TOP.	Позволяет ссылаться на TOP из любого другого места в TouchDesigner. Для сохранения графической памяти, ВЫБРАТЬ TOP создает экземпляр ТОП ссылки.	Permite hacer referencia a un TOP de cualquier otra ubicación en TouchDesigner. Para ahorrar memoria gráfica, la Selección TOP crea una instancia de las referencias superior.	Permesas referenci al TOP de ajna alia loko en TouchDesigner. Savi grafikan memoron, la Elekti TOP kreas petskribo de la TOP referencojn.
TOP Shared Mem In	Is only available in TouchDesigner Commercial and Pro. The Shared Mem In TOP will read image data from a shared memory block.	僅適用於TouchDesigner Commercial和Pro。 TOP中的Shared Mem將從共享內存塊中讀取圖像數據。	TouchDesignerコマーシャルおよびProでのみ利用可能です。 Shared Mem In TOPは、共有メモリブロックから画像データを読み取ります。	Est disponible uniquement dans TouchDesigner Commercial et Pro. Le Mem partagé En haut lira les données d'image à partir d'un bloc de mémoire partagée.	Имеется только в TouchDesigner коммерческих и Pro. Общий Mem В ТОП будет считывать данные изображения из общего блока памяти.	Sólo está disponible en TouchDesigner Comercial y Pro. El MEM Compartido TOP leerá los datos de imagen a partir de un segmento de memoria compartida.	Nur havebla en TouchDesigner Komerca kaj Por. La Komuna Mem En TOP legos bildo datumoj de memoro dividita bloko.
TOP Shared Mem Out	Is only available in TouchDesigner Commercial and Pro. The Shared Mem Out TOP will write image data out to a shared memory block for use by other TouchDesigner processes or other 3rd party applications.	僅適用於TouchDesigner Commercial和Pro。 Shared Mem Out TOP將圖像數據寫入共享內存塊，供其他TouchDesigner進程或其他第三方應用程序使用。	TouchDesignerコマーシャルおよびProでのみ利用可能です。 Shared Mem Out TOPは、他のTouchDesignerプロセスまたは他のサードパーティ製アプリケーションで使用するために画像データを共有メモリブロックに書き込みます。	Est disponible uniquement dans TouchDesigner Commercial et Pro. Le Mem partagé TOP rédigera des données d'image vers un bloc de mémoire partagée pour une utilisation par d'autres procédés de TouchDesigner ou d'autres applications 3ème partie.	Имеется только в TouchDesigner коммерческих и Pro. Shared Mem Out TOP запишет данные изображения к общему блоку памяти для использования другими процессами TouchDesigner или других приложений, 3-й партии.	Sólo está disponible en TouchDesigner Comercial y Pro. El TOP compartido Mem fuera escribirá los datos de imagen a un segmento de memoria compartida para su uso por otros procesos TouchDesigner u otras aplicaciones 3 ª parte.	Nur havebla en TouchDesigner Komerca kaj Por. La Komuna Mem El TOP skribos bildo datumoj eksteren al memoro dividita bloko por uzo de aliaj TouchDesigner procezoj aŭ aliaj 3a partio aplikoj.
TOP Slope	Generates pixels that represent the difference between its value and its neighbouring pixels' values.	生成表示其值與其相鄰像素值之間差異的像素。	その値とその隣接ピクセルの値との差を表すピクセルを生成します。	Génère pixels qui représentent la différence entre sa valeur et les valeurs de ses pixels voisins.	Формирует пиксели, которые представляют собой разницу между его стоимостью и стоимостью его соседними пикселями.	Genera píxeles que representan la diferencia entre su valor y los valores de los píxeles vecinos.	Generas pikseloj kiuj reprezentas la diferencon inter lia valoro kaj lia apuda pikseloj 'valorojn.
TOP Subtract	Composites the input images together by subtracting the pixel values. Output = Input1 - Input2. The pixel values below 0 are clammped to 0.	通過減去像素值將輸入圖像合成在一起。輸出=輸入1  - 輸入2。低於0的像素值被扼殺為0。	ピクセル値を減算して入力画像を合成します。出力=入力1  - 入力2 0未満のピクセル値は0に固定されます。	Composites les images d'entrée ensemble par soustraction des valeurs de pixels. Sortie = Entrée 1 - Input2. Les valeurs de pixel inférieures à 0 sont clammped à 0.	Композиты входных изображений вместе путем вычитания значений пикселей. Выход = Input1 - Input2. Значения пикселов ниже 0 являются clammped 0.	Compone las imágenes de entrada juntos restando los valores de los píxeles. Salida = Entrada 1 - Entrada2. Los valores de los píxeles inferiores a 0 se clammped a 0.	Composites la enigo bildoj kune per subtrahanta la rastrumero valorojn. Eligo = Input1 - Input2. La rastrumero valoroj sub 0 clammped al 0.
TOP Video Stream In	Creates an RTSP client to receive video and audio across the network.  The URL to connect to the RTSP server is in the form: rtsp://<ipaddress>:<port>/<streamName> e.	創建RTSP客戶端以通過網絡接收視頻和音頻。連接到RTSP服務器的URL格式為：rtsp：// <ipaddress>：<port> / <streamName> e。	ネットワーク経由でビデオとオーディオを受信するためのRTSPクライアントを作成します。 RTSPサーバに接続するためのURLは次の形式です。rtsp：// <IPアドレス>：<ポート> / <ストリーム名>	Crée un client RTSP pour recevoir de la vidéo et de l'audio à travers le réseau. L'URL pour vous connecter au serveur RTSP est sous la forme: rtsp: // <ipaddress>: <port> / <streamName> e.	Создает клиент RTSP для приема видео и аудио по сети. URL для подключения к серверу RTSP в виде: RTSP: // <IP-адрес>: <порт> / <streamName> е.	Crea un cliente RTSP para recibir video y audio a través de la red. La URL para conectarse al servidor RTSP es en la forma: rtsp: // <dirección ip>: <puerto> / <streamName> e.	Kreas RTSP kliento ricevi video kaj audio tra la reto. La URL por konekti al la RTSP servilo estas en la formo: RTSP: // <ipaddress>: <haveno> / <streamName> e.
TOP Spout Out	Will share its input texture with other applications that support the Spout framework . You can download a Spout setup package at http://spout.	將與支持Spout框架的其他應用程序共享其輸入紋理。您可以在http：// spout下載Spout安裝包。	その入力テクスチャを、Spoutフレームワークをサポートする他のアプリケーションと共有します。 Spoutのセットアップパッケージはhttp：// spoutでダウンロードできます。	Partagera sa texture d'entrée avec d'autres applications qui prennent en charge le cadre Spout. Vous pouvez télécharger un package d'installation à Spout http: // bec.	Будет ли делиться входной текстурой с другими приложениями, которые поддерживают структуру носика. Вы можете скачать установочный пакет носика по адресу: // носик.	Compartirá su textura de entrada con otras aplicaciones que soportan el marco del surtidor. Puede descargar un paquete de instalación del surtidor en http: // pico.	Dividos lian enigo teksturo kun aliaj aplikoj kiuj subtenas la Chorrera kadron. Vi povas elŝuti Chorrera difinos pakaĵo ĉe http: // Chorrera.
TOP Spout In	Will obtain its texture image via shared memory from other applications that support the Spout framework .	將通過支持Spout框架的其他應用程序的共享內存獲取其紋理圖像。	Spoutフレームワークをサポートする他のアプリケーションから共有メモリを介してそのテクスチャ画像を取得します。	OBTIENDREZ son image de texture via la mémoire partagée d'autres applications qui prennent en charge le cadre Spout.	Буду ли получить его изображение текстуры с помощью разделяемой памяти из других приложений, поддерживающих структуру носика.	Obtendrán su imagen a través de la textura de la memoria compartida de otras aplicaciones que soportan el marco del surtidor.	Ĉu akiri lia textura bildo per memoro dividita de aliaj aplikoj kiuj subtenas la Chorrera kadron.
TOP Oculus Rift	Note - The Oculus SDK has changed a lot over since the DK1. The original DK1 used the Oculus Rift TOP to do the barrel distortion.	注 - 自DK1以來，Oculus SDK已經發生了很大的變化。最初的DK1使用Oculus Rift TOP進行桶形失真。	注 -  Oculus SDKはDK1から大きく変わりました。オリジナルのDK1は、Oculus Rift TOPを使用してバレル歪みを補正しました。	Remarque - Le SDK Oculus a beaucoup changé au cours depuis le DK1. Le DK1 d'origine a utilisé le Oculus Rift TOP faire la distorsion du canon.	Примечание - Oculus SDK изменилось много более с ДК1. Оригинальный ДК1 использовал Oculus Rift TOP делать бочкообразную дисторсию.	Nota - El SDK Oculus ha cambiado mucho a lo largo ya que el DK1. El DK1 original utilizaba el Oculus Rift TOP para hacer la distorsión de barril.	Notu - La Oculus SDK ŝanĝiĝis multe pli de kiam la DK1. La origina DK1 uzis la Oculus Rift TOP fari la barelo distordo.
TOP Scalable Display	Lets you load calibration data retrieved from running the Scalable Display Calibration Software . Please refer to How-to calibrate your projector with Scalable Displays for a complete guide on TouchDesigners integration of the Scalable Displays SDK.	允許您加載從運行可擴展顯示校準軟件檢索到的校準數據。有關可伸縮顯示器SDK的TouchDesigners集成的完整指南，請參閱如何使用可擴展顯示器校準投影儀。	Scalable Display Calibration Softwareの実行から取得したキャリブレーションデータをロードできます。 TouchDesignerのScalable Displays SDKの統合に関する完全なガイドについては、Scalable Displayを使用してプロジェクタを調整する方法を参照してください。	vous permet de charger des données d'étalonnage extraites de l'exécution du logiciel évolutif de calibration d'affichage. S'il vous plaît se référer à Comment-calibrer votre projecteur avec les écrans pour Scalable un guide complet sur l'intégration de TouchDesigners du SDK Scalable Affiche.	Позволяет загружать данные калибровки, полученные из работы масштабируемый дисплей калибровки программного обеспечения. Пожалуйста, обратитесь к Как-откалибровать проектор с масштабируемыми дисплеями для полного руководства по TouchDesigners интеграции масштабируемых дисплеев SDK.	Le permite cargar datos de calibración obtenidos de ejecutar el Software de Calibración de pantalla escalable. Por favor, consulte Cómo calibrar el proyector con pantallas escalables para una guía completa sobre TouchDesigners integración del SDK Muestra escalable.	Permesas ŝargi calibración datumoj rekuperita de kuranta la Skalebla Montru Calibration Software. Bonvolu legi Kiel-al kalibri via proyector kun Scalable Ekranoj por kompleta gvidas sur TouchDesigners integriĝo de la Skalebla Montras SDK.
